observedProperty,resultUom,_Year,resultMeanValue,water_name,Country_name,PopulationDensity,TouristMean_1990_2020,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
CAS_14265-44-2,mg{P}/L,2010,0.029,BG3TU900R060,Bulgaria,64.71109985,4836884,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
EEA_3152-01-0,[pH],2010,7.6733,BG3TU900R060,Bulgaria,64.71109985,4836884,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
EEA_31615-01-7,mg{N}/L,2009,1.56,LVD413SP,Latvia,30.99347057,1136923,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,0,21.23
CAS_14265-44-2,mg{P}/L,2009,0.03575,LVD413SP,Latvia,30.99347057,1136923,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,0,21.23
EEA_3133-01-5,mg{O2}/L,2009,1.46667,LVD463,Latvia,30.99347057,1136923,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,0,21.23
EEA_31615-01-7,mg{N}/L,2009,2.65667,LVD463,Latvia,30.99347057,1136923,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,0,21.23
EEA_3152-01-0,[pH],2009,8.00048,FRDR593A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-01-0,ug/L,2009,8.125,FRDR593A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-03-3,mg{N}/L,2009,0.804556,FRGR0127,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-01-1,mg{N}/L,2009,0.9,FRGR0133A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-08-7,{massRatio},2009,482.45,FRGR0133A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2009,0.059144648,FRGR0133A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-02-2,mg{N}/L,2009,0.1213,ES030MSPF0514010,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
EEA_3152-01-0,[pH],2009,6.6333,ES030MSPF0514010,Spain,93.67719744,50941692,49,8,3,14,15,9,0,2,0,16.84
CAS_14798-03-9,mg{NH4}/L,2008,0.06762,IENB_06_50,Ireland,70.65344753,6942807,16.6,8.5,3.7,25.8,25,12.4,0,1.9,6.1,33
EEA_3161-02-2,mg{N}/L,2008,2.40558,FRGR0007C,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2008,564.75,FRGR2222,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-01-5,mg{O2}/L,2008,1.23333,FRGR0311A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-01-1,mg{N}/L,2008,1.0375,FRGR0311A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2008,0.042484351,FRGR0339,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-05-5,mg{N}/L,2008,6.91443,FRGR0312B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-05-5,mg{N}/L,2008,0.75361,FRDR10693,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2008,5.94789585,FRDR127,None,,,,,,,,,,,,
EEA_3121-01-5,Cel,2008,14.5833,FRDR166,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14798-03-9,mg{NH4}/L,2008,0.040905978,FRDR166,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2008,52.8516,FRDR166,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2008,21.33411143,FRAR37,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_31615-01-7,mg{N}/L,2008,5.41365,FRAR37,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-03-7,mg{O2}/L,2008,15.0833,FRAR03,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-01-0,ug/L,2008,2.125,FRAR47,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-05-5,mg{N}/L,2008,5.92719,FRAR47,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14798-03-9,mg{NH4}/L,2008,0.134822688,FRAR35,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2008,40.3924,FRAR35,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2008,82.8667,FRDR10693,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-01-0,ug/L,2008,0.875,FRDR127,None,,,,,,,,,,,,
CAS_14797-55-8,mg{NO3}/L,2008,0.982984361,FRDR887,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3152-01-0,[pH],2008,7.91453,FRDR887,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2008,0.034,FRDR166,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
